,BNF CODE,BNF NAME                                    ,SUB_CHAPTER,SUB_CHAPTER_REM,ITEMS  ,NIC        ,ACT COST   ,QUANTITY
499487,0202020L0BZAABQ,Frusol_Oral Soln 20mg/5ml S/F           ,202020,L0BZAABQ,1,36.21,33.55,450
10530,0202020L0BZABBN,Frusol_Oral Soln 40mg/5ml S/F           ,202020,L0BZABBN,1,15.58,14.44,150
6876559,0202020L0BZACBP,Frusol_Oral Soln 50mg/5ml S/F           ,202020,L0BZACBP,1,16.84,15.61,150
4403,0202020U0AAAAAA,Torasemide_Tab 2.5mg                    ,202020,U0AAAAAA,1,3.78,3.51,28
5891,0202020U0AAABAB,Torasemide_Tab 5mg                      ,202020,U0AAABAB,2,11.06,10.27,56
2701,0202020U0AAACAC,Torasemide_Tab 10mg                     ,202020,U0AAACAC,2,24.42,22.64,84
3150156,0202020U0BBAAAA,Torem 2.5_Tab 2.5mg                     ,202020,U0BBAAAA,1,3.78,3.5,28
5892,0202020U0BBABAB,Torem 5_Tab 5mg                         ,202020,U0BBABAB,1,5.53,5.13,28
1332461,0202020U0BBACAC,Torem 10_Tab 10mg                       ,202020,U0BBACAC,1,17.44,16.15,60
2702,0202030C0AAACAC,Amiloride HCl_Tab 5mg                   ,202030,C0AAACAC,3,28.35,26.3,196
390156,0202030C0AAASAS,Amiloride HCl_Oral Soln 5mg/5ml S/F     ,202030,C0AAASAS,2,74.7,69.22,300
6022344,0202030C0BFAAAS,Amilamont_Oral Soln 5mg/5ml S/F         ,202030,C0BFAAAS,1,37.35,34.61,150
344,0202030S0AAATAT,Spironol_Tab 25mg                       ,202030,S0AAATAT,2,0.47,0.66,11
802,0202030S0AAAUAU,Spironol_Tab 50mg                       ,202030,S0AAAUAU,2,8.44,7.84,56
1913,0202030S0AAAVAV,Spironol_Tab 100mg                      ,202030,S0AAAVAV,1,1.84,1.72,28
744621,0202030S0AACMCM,Spironol_Oral Soln 5mg/5ml              ,202030,S0AACMCM,1,70.07,64.92,200
615826,0202030S0AACNCN,Spironol_Oral Soln 25mg/5ml             ,202030,S0AACNCN,1,34.62,32.08,60
987444,0202030S0AACPCP,Spironol_Oral Soln 50mg/5ml             ,202030,S0AACPCP,1,62.32,57.74,100
669605,0202030S0AACQCQ,Spironol_Oral Soln 10mg/5ml             ,202030,S0AACQCQ,1,19.21,17.81,50
1793268,0202030S0AACRCR,Spironol_Liq Spec 100mg/5ml             ,202030,S0AACRCR,1,112.43,104.15,100
8303364,0202030S0AACZCZ,Spironol_Liq Spec 250mg/5ml             ,202030,S0AACZCZ,2,998.62,925.03,600
2614095,0202030S0AADCDC,Spironol_Liq Spec 15mg/5ml              ,202030,S0AADCDC,1,405.84,375.93,300
103431,0202030S0AAEAEA,Spironol_Oral Susp 25mg/5ml             ,202030,S0AAEAEA,1,29.8,27.62,125
43221,0202030S0AAEBEB,Spironol_Oral Susp 50mg/5ml             ,202030,S0AAEBEB,2,97.58,90.41,250
62980,0202030S0AAECEC,Spironol_Oral Susp 5mg/5ml              ,202030,S0AAECEC,1,39.64,36.73,125
52807,0202030S0AAEDED,Spironol_Oral Susp 10mg/5ml             ,202030,S0AAEDED,1,59.73,55.34,500
274930,0202030S0AAEEEE,Spironol_Oral Susp 100mg/5ml            ,202030,S0AAEEEE,1,112.43,104.15,125
8871,0202030S0BBAAAT,Aldactone_Tab 25mg                      ,202030,S0BBAAAT,1,2.49,2.42,28
36696,0202030S0BBABAU,Aldactone_Tab 50mg                      ,202030,S0BBABAU,1,4.98,4.73,28
1478832,0202030S0BBACAV,Aldactone_Tab 100mg                     ,202030,S0BBACAV,1,39.84,36.92,112
4229599,0202030W0AAAAAA,Triamterene_Cap 50mg                    ,202030,W0AAAAAA,1,39.11,36.34,28
803,0202030X0AAAAAA,Eplerenone_Tab 25mg                     ,202030,X0AAAAAA,6,87.44,81.47,84
4409,0202030X0AAABAB,Eplerenone_Tab 50mg                     ,202030,X0AAABAB,3,36.66,33.99,84
158301,0202030X0BBAAAA,Inspra_Tab 25mg                         ,202030,X0BBAAAA,1,85.44,79.15,56
36698,0202030X0BBABAB,Inspra_Tab 50mg                         ,202030,X0BBABAB,1,42.72,39.58,28
1125117,0202040A0AAAAAA,Amiloride HCl/Cyclopenth_Tab 2.5/0.25mg ,202040,A0AAAAAA,1,6.48,6.01,56
687103,0202040A0BBAAAA,Navispare_Tab                           ,202040,A0BBAAAA,1,3.24,3.01,28
804,0202040B0AAAAAA,Co-Amilofruse_Tab 5mg/40mg              ,202040,B0AAAAAA,2,1.7,1.6,56
805,0202040B0AAABAB,Co-Amilofruse_Tab 2.5mg/20mg            ,202040,B0AAABAB,3,3.6,3.37,112
90995,0202040B0AAACAC,Co-Amilofruse_Tab 10mg/80mg             ,202040,B0AAACAC,1,15.52,14.39,28
958782,0202040B0AAAHAH,Co-Amilofruse_Liq Spec 5mg/40mg/5ml     ,202040,B0AAAHAH,1,445.95,413.09,140
7248,0202040B0BBAAAA,Frumil_Tab 40mg/5mg                     ,202040,B0BBAAAA,1,5.29,4.91,28
209487,0202040B0BBABAB,Frumil L.S._Tab 20mg/2.5mg              ,202040,B0BBABAB,1,17.28,16.02,112
8876,0202040C0AAAAAA,Co-Amilozide_Tab 5mg/50mg               ,202040,C0AAAAAA,3,3.75,3.51,84
5899,0202040C0AAABAB,Co-Amilozide_Tab 2.5mg/25mg             ,202040,C0AAABAB,1,12.1,11.22,56
806,0202040C0BDAAAA,Moduretic_Tab 5mg/50mg                  ,202040,C0BDAAAA,1,1.29,1.21,28
52813,0202040C0BIAAAB,Moduret 25_Tab 2.5mg/25mg               ,202040,C0BIAAAB,1,0.86,0.81,28
35166,0202040D0AAAAAA,Amiloride HCl/Bumetanide_Tab 5mg/1mg    ,202040,D0AAAAAA,1,56,51.88,28
133308,0202040G0AAAAAA,Co-Flumactone_Tab 25mg/25mg             ,202040,G0AAAAAA,1,6.07,5.73,30
139113,0202040G0AAABAB,Co-Flumactone_Tab 50mg/50mg             ,202040,G0AAABAB,1,21.41,19.94,56
1621912,0202040G0BBAAAA,Aldactide 25_Tab 25mg/25mg              ,202040,G0BBAAAA,1,6.07,5.73,30
33764,0202040G0BBABAB,Aldactide 50_Tab 50mg/50mg              ,202040,G0BBABAB,1,21.4,19.83,56
407589,0202040H0AAAAAA,Co-Triamterzide_Tab 50mg/25mg           ,202040,H0AAAAAA,1,0.89,0.94,28
23405,0202040T0AAAAAA,Spironol/Furosemide_Cap 50mg/20mg       ,202040,T0AAAAAA,1,15.94,14.78,56
74671,0202040T0BBAAAA,Lasilactone_Cap 50mg/20mg               ,202040,T0BBAAAA,1,3.99,3.81,14
97053,0202040U0AAAAAA,Triamterene/Furosemide_Tab 50mg/40mg    ,202040,U0AAAAAA,1,2.17,2.12,28
807,0202040U0BBAAAA,Frusene_Tab                             ,202040,U0BBAAAA,3,13.02,12.1,168
95495,0202040V0AAAAAA,Triamterene/Chlortalidone_Tab 50mg/50mg ,202040,V0AAAAAA,1,29.7,27.52,84
818244,0202040V0BBAAAA,Kalspare_Tab                            ,202040,V0BBAAAA,1,29.7,27.52,84
276221,0202080K0AAABAB,Furosemide/Pot_Tab 40mg/8mmol M/R       ,202080,K0AAABAB,1,2.8,2.71,28
7722752,0202080K0BCAAAB,Diumide-K Continus_Tab                  ,202080,K0BCAAAB,1,2.1,2.06,21
2709,0203020D0AAAAAA,Amiodarone HCl_Tab 100mg                ,203020,D0AAAAAA,1,3.26,3.03,56
808,0203020D0AAABAB,Amiodarone HCl_Tab 200mg                ,203020,D0AAABAB,4,8.08,7.53,112
392173,0203020D0AAAUAU,Amiodarone HCl_Oral Soln 100mg/5ml      ,203020,D0AAAUAU,1,162.73,150.75,140
487192,0203020D0AAAWAW,Amiodarone HCl_Liq Spec 25mg/5ml        ,203020,D0AAAWAW,1,585.86,542.68,600
1597837,0203020D0AAAYAY,Amiodarone HCl_Oral Soln 50mg/5ml       ,203020,D0AAAYAY,2,505.32,468.1,600
480281,0203020D0AACHCH,Amiodarone HCl_Oral Susp 100mg/5ml      ,203020,D0AACHCH,1,164.2,152.11,100
379799,0203020D0AACICI,Amiodarone HCl_Oral Susp 50mg/5ml       ,203020,D0AACICI,2,338.74,313.79,200
1212461,0203020D0BBAAAA,Cordarone X 100_Tab 100mg               ,203020,D0BBAAAA,1,4.28,3.98,28
3355829,0203020D0BBABAB,Cordarone X 200_Tab 200mg               ,203020,D0BBABAB,1,6.99,6.49,28
5901,0203020F0AAABAB,Disopyramide_Cap 100mg                  ,203020,F0AAABAB,1,29.45,27.39,112
5902,0203020F0AAACAC,Disopyramide_Cap 150mg                  ,203020,F0AAACAC,2,55.16,51.32,168
2817451,0203020F0AAAPAP,Disopyramide_Cap 25mg                   ,203020,F0AAAPAP,1,328.74,304.52,112
5358115,0203020F0AAARAR,Disopyramide_Liq Spec 50mg/5ml          ,203020,F0AAARAR,1,212,196.38,300
51091,0203020F0BCAAAB,Rythmodan_Cap 100mg                     ,203020,F0BCAAAB,2,18.86,17.7,112
62985,0203020G0AAACAC,Disopyramide Phos_Tab 250mg M/R         ,203020,G0AAACAC,1,44.91,41.71,84
4414,0203020G0BDABAC,Rythmodan Ret_Tab 250mg                 ,203020,G0BDABAC,1,29.94,27.85,56
2711,0203020I0AAADAD,Flecainide Acet_Tab 100mg               ,203020,I0AAADAD,8,91.34,85.02,644
809,0203020I0AAAKAK,Flecainide Acet_Tab 50mg                ,203020,I0AAAKAK,2,16.64,15.44,120
2519091,0203020I0AAAZAZ,Flecainide Acet_Liq Spec 100mg/5ml      ,203020,I0AAAZAZ,2,351.17,325.31,200
5479732,0203020I0AABABA,Flecainide Acet_Liq Spec 30mg/5ml       ,203020,I0AABABA,2,1924.02,1782.21,1200
495428,0203020I0AABQBQ,Flecainide Acet_Cap 200mg M/R           ,203020,I0AABQBQ,1,14.77,13.69,30
40132,0203020I0AABRBR,Flecainide Acet_Oral Soln 25mg/5ml      ,203020,I0AABRBR,2,292.26,270.74,900
54717,0203020I0AABSBS,Flecainide Acet_Oral Susp 25mg/5ml      ,203020,I0AABSBS,1,47.94,44.42,300
848013,0203020I0AABTBT,Flecainide Acet_Oral Susp 10mg/5ml      ,203020,I0AABTBT,1,308.19,285.48,100
810,0203020I0BBAAAD,Tambocor_Tab 100mg                      ,203020,I0BBAAAD,1,33.06,30.64,120
35169,0203020I0BBACAK,Tambocor_Tab 50mg                       ,203020,I0BBACAK,1,27,25.12,140
1540058,0203020I0BBADBQ,Tambocor_XL Cap 200mg                   ,203020,I0BBADBQ,1,13.79,12.89,28
1753477,0203020P0AAAAAA,Mexiletine HCl_Cap 50mg                 ,203020,P0AAAAAA,2,750.14,694.87,189
38920,0203020P0AAABAB,Mexiletine HCl_Cap 200mg                ,203020,P0AAABAB,2,910.68,843.57,112
2393106,0203020P0AAAGAG,Mexiletine HCl_Tab 200mg                ,203020,P0AAAGAG,1,391.82,362.95,84
1991576,0203020P0AAAIAI,Mexiletine HCl_Cap 100mg                ,203020,P0AAAIAI,1,833,771.6,200
9375974,0203020P0AAAKAK,Mexiletine HCl_Oral Soln 50mg/5ml       ,203020,P0AAAKAK,2,1158.33,1072.96,1200
5140997,0203020P0AAALAL,Mexiletine HCl_Oral Soln 37.5mg/5ml     ,203020,P0AAALAL,2,1477.48,1368.59,2000
2791667,0203020P0BBAAAA,Mexitil_Cap 50mg                        ,203020,P0BBAAAA,1,290.77,269.45,112
811,0203020R0AAAAAA,Propafenone HCl_Tab 150mg               ,203020,R0AAAAAA,1,2.46,2.39,30
148130,0203020R0AAABAB,Propafenone HCl_Tab 300mg               ,203020,R0AAABAB,1,18.68,17.32,120
68982,0203020R0BCAAAA,Arythmol_Tab 150mg                      ,203020,R0BCAAAA,2,13.76,12.97,168
1513777,0203020R0BCABAB,Arythmol_Tab 300mg                      ,203020,R0BCABAB,1,8.72,8.19,56
5833691,0203020U0AAAGAG,Quinidine Sulf_Tab 200mg                ,203020,U0AAAGAG,2,231.37,214.34,56
2713,0203020X0AAAAAA,Dronedarone HCl_Tab 400mg               ,203020,X0AAAAAA,2,234,216.97,208
12494,0203020X0BBAAAA,Multaq_Tab 400mg                        ,203020,X0BBAAAA,1,63,58.47,56
994731,020400030AAAEAE,Timolol/Bendroflumeth_Tab 10mg/2.5mg    ,204000,30AAAEAE,1,56.91,52.83,28
829,020400040AAAAAA,Co-Tenidone_Tab 50mg/12.5mg             ,204000,40AAAAAA,1,1.33,1.24,28
830,020400040AAABAB,Co-Tenidone_Tab 100mg/25mg              ,204000,40AAABAB,1,1.32,1.24,28
5927,020400040BBAAAA,Tenoret_Tab 50mg/12.5mg                 ,204000,40BBAAAA,2,20.72,19.22,56
49639,020400040BCAAAB,Tenoretic_Tab 100mg/25mg                ,204000,40BCAAAB,2,20.72,19.22,56
5928,020400060AAAAAA,Celiprolol HCl_Tab 200mg                ,204000,60AAAAAA,2,55.6,51.53,112
10570,020400060AAABAB,Celiprolol HCl_Tab 400mg                ,204000,60AAABAB,1,27.91,25.86,28
205027,020400060BBAAAA,Celectol_Tab 200mg                      ,204000,60BBAAAA,1,39.66,36.75,56
183183,020400060BBABAB,Celectol_Tab 400mg                      ,204000,60BBABAB,1,39.65,36.74,28
831,020400080AAABAB,Carvedilol_Tab 12.5mg                   ,204000,80AAABAB,1,1.72,1.61,56
832,020400080AAACAC,Carvedilol_Tab 25mg                     ,204000,80AAACAC,6,2.94,3.4,84
833,020400080AAAEAE,Carvedilol_Tab 3.125mg                  ,204000,80AAAEAE,3,4.56,4.26,168
834,020400080AAAFAF,Carvedilol_Tab 6.25mg                   ,204000,80AAAFAF,1,1.6,1.49,56
645552,020400080AAAPAP,Carvedilol_Oral Susp 5mg/5ml            ,204000,80AAAPAP,1,95.78,88.73,350
2714,0204000ABAAAAAA,Nebivolol_Tab 5mg                       ,204000,ABAAAAAA,18,28.05,26.49,714
2715,0204000ABAAABAB,Nebivolol_Tab 2.5mg                     ,204000,ABAAABAB,1,32.02,29.67,56
22356,0204000ABAAACAC,Nebivolol_Tab 10mg                      ,204000,ABAAACAC,1,6.31,5.84,28
92823,0204000ABBBAAAA,Nebilet_Tab 5mg                         ,204000,ABBBAAAA,2,18.46,17.12,56
8173023,0204000ACAAAAAA,Bisoprolol/Aspirin_Cap 5mg/75mg         ,204000,ACAAAAAA,1,5.13,4.75,28
2346080,0204000ACAAABAB,Bisoprolol/Aspirin_Cap 10mg/75mg        ,204000,ACAAABAB,1,5.13,4.86,28
6335764,0204000ACAAADAD,Bisoprolol/Aspirin_Cap 5mg/100mg        ,204000,ACAAADAD,1,14,13.08,56
5906,0204000C0AAAAAA,Acebut HCl_Cap 100mg                    ,204000,C0AAAAAA,1,19.96,18.6,112
14242,0204000C0AAABAB,Acebut HCl_Cap 200mg                    ,204000,C0AAABAB,4,19.2,18.23,56
5907,0204000C0AAADAD,Acebut HCl_Tab 400mg                    ,204000,C0AAADAD,1,37.24,34.51,56
789066,0204000C0BBAAAA,Sectral_Cap 100mg                       ,204000,C0BBAAAA,2,19.96,18.71,112
49617,0204000C0BBABAB,Sectral 200_Cap 200mg                   ,204000,C0BBABAB,1,19.18,17.78,56
155672,0204000C0BBADAD,Sectral 400_Tab 400mg                   ,204000,C0BBADAD,2,74.48,69.01,112
8886,0204000E0AAAAAA,Atenolol_Oral Soln 25mg/5ml S/F         ,204000,E0AAAAAA,1,5.59,5.19,300
812,0204000E0AAABAB,Atenolol_Tab 50mg                       ,204000,E0AAABAB,33,23.45,22.63,875
813,0204000E0AAACAC,Atenolol_Tab 100mg                      ,204000,E0AAACAC,18,17.4,16.34,560
814,0204000E0AAAGAG,Atenolol_Tab 25mg                       ,204000,E0AAAGAG,14,12.6,11.85,504
488721,0204000E0AAANAN,Atenolol_Liq Spec 25mg/5ml              ,204000,E0AAANAN,1,7.43,6.89,300
10550,0204000E0BBACAC,Tenormin_Tab 100mg                      ,204000,E0BBACAC,1,25.96,24.06,56
4421,0204000E0BBAFAB,Tenormin L.S._Tab 50mg                  ,204000,E0BBAFAB,1,10.22,9.48,28
640,0204000H0AAAAAA,Bisoprolol Fumar_Tab 5mg                ,204000,H0AAAAAA,1,1.34,1.25,56
816,0204000H0AAABAB,Bisoprolol Fumar_Tab 10mg               ,204000,H0AAABAB,27,14.58,14.74,567
345,0204000H0AAAJAJ,Bisoprolol Fumar_Tab 2.5mg              ,204000,H0AAAJAJ,2,0.15,0.37,6
818,0204000H0AAAKAK,Bisoprolol Fumar_Tab 3.75mg             ,204000,H0AAAKAK,13,8.81,9.02,273
819,0204000H0AAALAL,Bisoprolol Fumar_Tab 7.5mg              ,204000,H0AAALAL,10,13.31,12.45,308
641,0204000H0AAAMAM,Bisoprolol Fumar_Tab 1.25mg             ,204000,H0AAAMAM,1,1.54,1.44,56
7459058,0204000H0AAARAR,Bisoprolol Fumar_Liq Spec 10mg/5ml      ,204000,H0AAARAR,4,1604.55,1486.32,535
7212238,0204000H0AABBBB,Bisoprolol Fumar_Liq Spec 7.5mg/5ml     ,204000,H0AABBBB,1,459,425.18,150
3434074,0204000H0AABDBD,Bisoprolol Fumar_Liq Spec 625mcg/5ml    ,204000,H0AABDBD,2,555.69,514.75,300
117044,0204000H0AABEBE,Bisoprolol Fumar_Oral Soln 2.5mg/5ml    ,204000,H0AABEBE,2,48.5,44.94,300
1604806,0204000H0AABFBF,Bisoprolol Fumar_Oral Susp 2.5mg/5ml    ,204000,H0AABFBF,1,92.22,85.43,400
351218,0204000H0AABGBG,Bisoprolol Fumar_Oral Soln 5mg/5ml      ,204000,H0AABGBG,1,94.72,87.75,150
723181,0204000H0AABHBH,Bisoprolol Fumar_Oral Susp 5mg/5ml      ,204000,H0AABHBH,1,87.01,80.61,300
195157,0204000H0AABIBI,Bisoprolol Fumar_Oral Susp 1.25mg/5ml   ,204000,H0AABIBI,2,220.62,204.38,280
1017067,0204000H0AABJBJ,Bisoprolol Fumar_Oral Soln 1.25mg/5ml   ,204000,H0AABJBJ,1,126.2,116.91,140
4428,0204000H0BFAAAM,Cardicor_Tab 1.25mg                     ,204000,H0BFAAAM,1,2.35,2.19,28
4429,0204000H0BFABAJ,Cardicor_Tab 2.5mg                      ,204000,H0BFABAJ,1,4.7,4.37,56
28858,0204000H0BFACAK,Cardicor_Tab 3.75mg                     ,204000,H0BFACAK,1,4.9,4.55,28
821,0204000H0BFADAA,Cardicor_Tab 5mg                        ,204000,H0BFADAA,1,5.9,5.48,28
10557,0204000H0BFAEAL,Cardicor_Tab 7.5mg                      ,204000,H0BFAEAL,2,11.8,10.96,56
45611,0204000H0BFAFAB,Cardicor_Tab 10mg                       ,204000,H0BFAFAB,1,11.8,10.94,56
1508200,0204000H0BKAAAM,Congescor_Tab 1.25mg (Tillomed)         ,204000,H0BKAAAM,1,5.9,5.48,28
140541,0204000H0BKABAJ,Congescor_Tab 2.5mg (Tillomed)          ,204000,H0BKABAJ,1,3.9,3.62,28
86218,0204000I0AAABAB,Labetalol HCl_Tab 50mg                  ,204000,I0AAABAB,1,3.79,3.52,56
10558,0204000I0AAACAC,Labetalol HCl_Tab 100mg                 ,204000,I0AAACAC,4,28.6,26.65,308
2725,0204000I0AAADAD,Labetalol HCl_Tab 200mg                 ,204000,I0AAADAD,2,19.38,18.08,140
27039,0204000I0AAAEAE,Labetalol HCl_Tab 400mg                 ,204000,I0AAAEAE,1,15.41,14.29,56
3146849,0204000I0AAAIAI,Labetalol HCl_Liq Spec 50mg/5ml         ,204000,I0AAAIAI,1,240,222.32,100
17238,0204000I0BCAAAB,Trandate_Tab 50mg                       ,204000,I0BCAAAB,1,6.77,6.38,100
10559,0204000I0BCABAC,Trandate_Tab 100mg                      ,204000,I0BCABAC,1,4.64,4.31,56
12508,0204000I0BCACAD,Trandate_Tab 200mg                      ,204000,I0BCACAD,2,11.12,10.43,84
426389,0204000I0BCADAE,Trandate_Tab 400mg                      ,204000,I0BCADAE,1,15.23,14.22,84
1946723,0204000K0AAAAAA,Metoprolol Tart_Inj 1mg/ml 5ml Amp      ,204000,K0AAAAAA,2,337.34,312.7,336
346,0204000K0AAABAB,Metoprolol Tart_Tab 50mg                ,204000,K0AAABAB,1,0.32,0.41,10
2727,0204000K0AAACAC,Metoprolol Tart_Tab 100mg               ,204000,K0AAACAC,3,8,7.45,224
103462,0204000K0AAADAD,Metoprolol Tart_Tab 200mg M/R           ,204000,K0AAADAD,1,39.2,36.32,112
8224477,0204000K0AAAFAF,Metoprolol Tart_Cap 12.5mg              ,204000,K0AAAFAF,1,618.34,572.77,56
5171143,0204000K0AAAMAM,Metoprolol Tart_Liq Spec 10mg/5ml       ,204000,K0AAAMAM,1,223.99,207.48,300
1797854,0204000K0AAATAT,Metoprolol Tart_Oral Susp 50mg/5ml      ,204000,K0AAATAT,2,355.81,329.6,200
398557,0204000K0AABKBK,Metoprolol Tart_Oral Soln 12.5mg/5ml    ,204000,K0AABKBK,1,89.7,83.09,300
1791721,0204000K0AABLBL,Metoprolol Tart_Oral Susp 12.5mg/5ml    ,204000,K0AABLBL,1,30.98,28.71,100
8178353,0204000K0AABMBM,Metoprolol Tart_Oral Soln 50mg/5ml      ,204000,K0AABMBM,1,60.51,56.06,150
1689685,0204000K0BDAAAB,Lopresor_Tab 50mg                       ,204000,K0BDAAAB,2,5.14,4.79,112
408784,0204000K0BDACAD,Lopresor Sr_Tab 200mg                   ,204000,K0BDACAD,1,9.8,9.09,28
383837,0204000M0AAAAAA,Nadolol_Tab 40mg                        ,204000,M0AAAAAA,1,93.67,86.78,28
52833,0204000M0AAABAB,Nadolol_Tab 80mg                        ,204000,M0AAABAB,1,18,16.69,84
818267,0204000M0AAAFAF,Nadolol_Oral Soln 30mg/5ml              ,204000,M0AAAFAF,1,192.16,178.01,280
1193760,0204000M0AAAGAG,Nadolol_Oral Soln 20mg/5ml              ,204000,M0AAAGAG,2,335.9,311.16,600
456250,0204000M0AAAHAH,Nadolol_Oral Susp 20mg/5ml              ,204000,M0AAAHAH,1,143.95,133.35,100
269612,0204000M0AAAIAI,Nadolol_Oral Susp 30mg/5ml              ,204000,M0AAAIAI,1,190.36,176.34,100
1039356,0204000M0AAAJAJ,Nadolol_Oral Susp 40mg/5ml              ,204000,M0AAAJAJ,2,268.28,248.52,200
849371,0204000M0BBABAB,Corgard_Tab 80mg                        ,204000,M0BBABAB,2,12,11.34,56
786858,0204000N0AAABAB,Oxprenolol HCl_Tab 20mg                 ,204000,N0AAABAB,1,1.34,1.35,14
14254,0204000N0AAACAC,Oxprenolol HCl_Tab 40mg                 ,204000,N0AAACAC,2,14.96,13.98,116
1559254,0204000N0AAAFAF,Oxprenolol HCl_Tab 160mg M/R            ,204000,N0AAAFAF,3,23.88,22.16,84
12510,0204000P0AAAAAA,Pindolol_Tab 5mg                        ,204000,P0AAAAAA,1,6.9,6.5,84
3066392,0204000P0AAABAB,Pindolol_Tab 15mg                       ,204000,P0AAABAB,7,36.96,35.02,98
7825217,0204000P0BBAAAA,Visken_Tab 5mg                          ,204000,P0BBAAAA,1,5.85,5.43,56
145,0204000R0AAAAAA,Propranolol HCl_Cap 80mg M/R            ,204000,R0AAAAAA,1,2.48,2.41,14
824,0204000R0AAABAB,Propranolol HCl_Cap 160mg M/R           ,204000,R0AAABAB,2,19.52,18.11,112
22,0204000R0AAAHAH,Propranolol HCl_Tab 10mg                ,204000,R0AAAHAH,1,1.62,1.51,56
23,0204000R0AAAJAJ,Propranolol HCl_Tab 40mg                ,204000,R0AAAJAJ,14,7.04,7.9,224
4436,0204000R0AAAKAK,Propranolol HCl_Tab 80mg                ,204000,R0AAAKAK,4,7.89,7.66,322
28866,0204000R0AAALAL,Propranolol HCl_Tab 160mg               ,204000,R0AAALAL,1,5.87,5.45,56
9514618,0204000R0AACHCH,Propranolol HCl_Liq Spec 50mg/5ml       ,204000,R0AACHCH,1,279.84,259.22,400
4544977,0204000R0AACICI,Propranolol HCl_Liq Spec 5mg/5ml        ,204000,R0AACICI,1,66.54,61.63,450
2138594,0204000R0AACJCJ,Propranolol HCl_Liq Spec 10mg/5ml       ,204000,R0AACJCJ,1,46.9,43.45,300
3266665,0204000R0AACLCL,Propranolol HCl_Liq Spec 40mg/5ml       ,204000,R0AACLCL,2,410.6,380.36,1680
9474840,0204000R0AACSCS,Propranolol HCl_Liq Spec 2.5mg/5ml      ,204000,R0AACSCS,2,895.2,829.24,1600
67301,0204000R0AACWCW,Propranolol HCl_Oral Soln 5mg/5ml S/F   ,204000,R0AACWCW,1,43.68,40.47,300
8903,0204000R0AACXCX,Propranolol HCl_Oral Soln 10mg/5ml S/F  ,204000,R0AACXCX,1,26.87,24.9,150
4437,0204000R0AACYCY,Propranolol HCl_Oral Soln 50mg/5ml S/F  ,204000,R0AACYCY,2,71.06,65.84,300
54736,0204000R0AADBDB,Propranolol HCl_Oral Soln 40mg/5ml S/F  ,204000,R0AADBDB,2,140.16,129.86,600
73231,0204000R0BDACAB,Bedranol S.R._Cap 160mg (Sandoz)        ,204000,R0BDACAB,1,4.59,4.26,28
14260,0204000R0BDADAA,Bedranol S.R._Cap 80mg (Sandoz)         ,204000,R0BDADAA,1,8.32,7.72,56
2399553,0204000R0BDAEAB,Bedranol S.R._Cap 160mg (Almus)         ,204000,R0BDAEAB,1,10.18,9.44,56
86228,0204000R0BDAFAA,Bedranol S.R._Cap 80mg (Almus)          ,204000,R0BDAFAA,1,4.16,3.87,28
295533,0204000R0BGAFAA,Half-Inderal LA_Cap 80mg                ,204000,R0BGAFAA,1,7.4,6.87,56
2573267,0204000R0BGAGAB,Inderal LA_Cap 160mg                    ,204000,R0BGAGAB,1,9.76,9.05,56
74695,0204000R0BNAAAB,Beta-Prograne MR_Cap 160mg              ,204000,R0BNAAAB,1,6.11,5.67,28
4438,0204000R0BNABAA,Half Beta-Prograne MR_Cap 80mg          ,204000,R0BNABAA,1,9.9,9.18,56
713314,0204000R0BNACAB,Beta-Prograne MR_Cap 160mg (Teva)       ,204000,R0BNACAB,1,6.11,5.67,28
280238,0204000R0BNADAA,Half Beta-Prograne MR_Cap 80mg (Teva)   ,204000,R0BNADAA,1,4.95,4.6,28
114664,0204000R0BNAEAA,Half Beta-Prograne MR_Cap 80mg (Actavis),204000,R0BNAEAA,1,19.8,18.35,112
2020986,0204000R0BNAFAB,Beta-Prograne MR_Cap 160mg (Actavis)    ,204000,R0BNAFAB,2,12.22,11.32,56
3499850,0204000R0BVAACW,Syprol_Oral Soln 5mg/5ml S/F            ,204000,R0BVAACW,1,15.5,14.37,150
4682809,0204000R0BVABCX,Syprol_Oral Soln 10mg/5ml S/F           ,204000,R0BVABCX,1,68.17,63.14,500
8019015,0204000R0BVACCY,Syprol_Oral Soln 50mg/5ml S/F           ,204000,R0BVACCY,1,24.98,23.14,150
2732,0204000T0AAABAB,Sotalol HCl_Tab 40mg                    ,204000,T0AAABAB,4,14.17,13.17,364
348,0204000T0AAACAC,Sotalol HCl_Tab 80mg                    ,204000,T0AAACAC,1,0.83,0.88,20
828,0204000T0AAAEAE,Sotalol HCl_Tab 160mg                   ,204000,T0AAAEAE,1,5.93,5.51,28
4418565,0204000T0AAAFAF,Sotalol HCl_Tab 200mg                   ,204000,T0AAAFAF,5,6,6.12,70
4455495,0204000T0AAAMAM,Sotalol HCl_Liq Spec 40mg/5ml           ,204000,T0AAAMAM,1,1197.45,1109.19,600
5872878,0204000T0AAATAT,Sotalol HCl_Oral Soln 25mg/5ml          ,204000,T0AAATAT,1,96.41,89.32,400
2526425,0204000T0AABCBC,Sotalol HCl_Oral Susp 25mg/5ml          ,204000,T0AABCBC,1,94.41,87.46,200
2208774,0204000T0BBACAF,Beta-Cardone_Tab 200mg                  ,204000,T0BBACAF,1,4.8,4.46,56
